sku_id,product_name,category,supplier,current_stock,unit_cost,daily_demand_avg,daily_demand_std,lead_time_days,open_purchase_orders,units_on_order,historical_demand_30d,historical_demand_90d,last_restock_date
SKU-00001,Rapid Earbuds 634,Electronics,TransGlobal Manufacturing,118,547.76,4.27,0.62,24,0,0,133,396,2026-09-06
SKU-00002,Unsweetened Coffee 134,Grocery & Consumables,Evergreen Consumer Goods,234,12.85,8.31,3.51,6,0,0,256,755,2026-07-25
SKU-00003,Women's Shorts 961,Apparel,Pacific Rim Sourcing,4406,48.2,144.7,72.31,30,0,0,4813,13881,2026-08-17
SKU-00004,Cast Iron Utensil Set 799,Home & Kitchen,TransGlobal Manufacturing,258,160.58,12.88,5.96,27,0,0,377,1195,2026-08-26
SKU-00005,Retractable Whiteboard 962,Office Supplies,Delta Prime Wholesale,197,5.36,16.02,1.8,15,2,240,499,1511,2026-09-01
SKU-00006,Deluxe Card Game 505,Toys & Games,BlueHarbor Trading,98,36.31,3.95,1.39,30,1,98,123,337,2026-07-29
SKU-00007,Daily Body Wash 300,Health & Beauty,Vantage Health Products,4530,20.58,125.38,133.77,10,1,2128,2873,11684,2026-07-20
SKU-00008,Premium Air Filter 851,Automotive Parts,Ironclad Industrial Supply,363,271.74,1.51,0.26,47,2,103,45,132,2026-05-25
SKU-00009,Foldable Water Bottle 541,Sporting Goods,Coastal Sports & Outdoor,38,31.68,2.18,0.56,24,0,0,68,193,2026-07-20
SKU-00010,High-Torque Respirator Mask 942,Industrial Supplies,TransGlobal Manufacturing,1240,23.72,30.83,8.28,41,0,0,936,2767,2026-08-06
SKU-00011,Deluxe Stuffed Animal 127,Toys & Games,Anchor Point Toys Inc.,493,33.69,17.99,5.96,16,0,0,484,1596,2026-08-24
SKU-00012,Rapid Mouse 986,Electronics,Pacific Rim Sourcing,251,311.63,11.38,2.23,48,0,0,339,1048,2026-08-17
SKU-00013,Bluetooth Cable 429,Electronics,TransGlobal Manufacturing,277,73.16,17.47,5.52,21,0,0,547,1509,2026-08-21
SKU-00014,Performance Jacket 349,Apparel,Evergreen Consumer Goods,876,12.22,32.01,25.83,5,2,311,1152,2961,2026-09-07
SKU-00015,Anti-Slip Bike Helmet 570,Sporting Goods,Northgate Wholesale,421,84.95,2.87,1.56,18,0,0,77,250,2026-06-08
SKU-00016,Standard Hard Hat 657,Industrial Supplies,TransGlobal Manufacturing,43,42.29,1.65,1.03,20,0,0,48,147,2026-07-27
